run:
Looking for Oracle's jdbc-odbc driver ... Loaded.Connecting to DB...connected !!
Input Line: 	p0, 228, 102
Tokens: 	INSERT INTO hydrant values('p0',SDO_Geometry (2001,null,SDO_POINT_TYPE( 228, 102,null),null,null))
Input Line: 	p1, 220, 112
Tokens: 	INSERT INTO hydrant values('p1',SDO_Geometry (2001,null,SDO_POINT_TYPE( 220, 112,null),null,null))
Input Line: 	p2, 213, 135
Tokens: 	INSERT INTO hydrant values('p2',SDO_Geometry (2001,null,SDO_POINT_TYPE( 213, 135,null),null,null))
Input Line: 	p3, 189, 177
Tokens: 	INSERT INTO hydrant values('p3',SDO_Geometry (2001,null,SDO_POINT_TYPE( 189, 177,null),null,null))
Input Line: 	p4, 180, 202
Tokens: 	INSERT INTO hydrant values('p4',SDO_Geometry (2001,null,SDO_POINT_TYPE( 180, 202,null),null,null))
Input Line: 	p5, 166, 231
Tokens: 	INSERT INTO hydrant values('p5',SDO_Geometry (2001,null,SDO_POINT_TYPE( 166, 231,null),null,null))
Input Line: 	p6, 153, 257
Tokens: 	INSERT INTO hydrant values('p6',SDO_Geometry (2001,null,SDO_POINT_TYPE( 153, 257,null),null,null))
Input Line: 	p7, 138, 278
Tokens: 	INSERT INTO hydrant values('p7',SDO_Geometry (2001,null,SDO_POINT_TYPE( 138, 278,null),null,null))
Input Line: 	p8, 125, 300
Tokens: 	INSERT INTO hydrant values('p8',SDO_Geometry (2001,null,SDO_POINT_TYPE( 125, 300,null),null,null))
Input Line: 	p9, 116, 320
Tokens: 	INSERT INTO hydrant values('p9',SDO_Geometry (2001,null,SDO_POINT_TYPE( 116, 320,null),null,null))
Input Line: 	p10, 94, 369
Tokens: 	INSERT INTO hydrant values('p10',SDO_Geometry (2001,null,SDO_POINT_TYPE( 94, 369,null),null,null))
Input Line: 	p11, 104, 394
Tokens: 	INSERT INTO hydrant values('p11',SDO_Geometry (2001,null,SDO_POINT_TYPE( 104, 394,null),null,null))
Input Line: 	p12, 136, 409
Tokens: 	INSERT INTO hydrant values('p12',SDO_Geometry (2001,null,SDO_POINT_TYPE( 136, 409,null),null,null))
Input Line: 	p13, 171, 430
Tokens: 	INSERT INTO hydrant values('p13',SDO_Geometry (2001,null,SDO_POINT_TYPE( 171, 430,null),null,null))
Input Line: 	p14, 195, 438
Tokens: 	INSERT INTO hydrant values('p14',SDO_Geometry (2001,null,SDO_POINT_TYPE( 195, 438,null),null,null))
Input Line: 	p15, 221, 453
Tokens: 	INSERT INTO hydrant values('p15',SDO_Geometry (2001,null,SDO_POINT_TYPE( 221, 453,null),null,null))
Input Line: 	p16, 250, 462
Tokens: 	INSERT INTO hydrant values('p16',SDO_Geometry (2001,null,SDO_POINT_TYPE( 250, 462,null),null,null))
Input Line: 	p17, 283, 485
Tokens: 	INSERT INTO hydrant values('p17',SDO_Geometry (2001,null,SDO_POINT_TYPE( 283, 485,null),null,null))
Input Line: 	p18, 320, 505
Tokens: 	INSERT INTO hydrant values('p18',SDO_Geometry (2001,null,SDO_POINT_TYPE( 320, 505,null),null,null))
Input Line: 	p19, 342, 502
Tokens: 	INSERT INTO hydrant values('p19',SDO_Geometry (2001,null,SDO_POINT_TYPE( 342, 502,null),null,null))
Input Line: 	p20, 365, 475
Tokens: 	INSERT INTO hydrant values('p20',SDO_Geometry (2001,null,SDO_POINT_TYPE( 365, 475,null),null,null))
Input Line: 	p21, 320, 531
Tokens: 	INSERT INTO hydrant values('p21',SDO_Geometry (2001,null,SDO_POINT_TYPE( 320, 531,null),null,null))
Input Line: 	p22, 318, 561
Tokens: 	INSERT INTO hydrant values('p22',SDO_Geometry (2001,null,SDO_POINT_TYPE( 318, 561,null),null,null))
Input Line: 	p23, 439, 318
Tokens: 	INSERT INTO hydrant values('p23',SDO_Geometry (2001,null,SDO_POINT_TYPE( 439, 318,null),null,null))
Input Line: 	p24, 422, 344
Tokens: 	INSERT INTO hydrant values('p24',SDO_Geometry (2001,null,SDO_POINT_TYPE( 422, 344,null),null,null))
Input Line: 	p25, 412, 378
Tokens: 	INSERT INTO hydrant values('p25',SDO_Geometry (2001,null,SDO_POINT_TYPE( 412, 378,null),null,null))
Input Line: 	p26, 484, 233
Tokens: 	INSERT INTO hydrant values('p26',SDO_Geometry (2001,null,SDO_POINT_TYPE( 484, 233,null),null,null))
Input Line: 	p27, 504, 208
Tokens: 	INSERT INTO hydrant values('p27',SDO_Geometry (2001,null,SDO_POINT_TYPE( 504, 208,null),null,null))
Input Line: 	p28, 518, 175
Tokens: 	INSERT INTO hydrant values('p28',SDO_Geometry (2001,null,SDO_POINT_TYPE( 518, 175,null),null,null))
Input Line: 	p29, 516, 290
Tokens: 	INSERT INTO hydrant values('p29',SDO_Geometry (2001,null,SDO_POINT_TYPE( 516, 290,null),null,null))
Input Line: 	p30, 531, 299
Tokens: 	INSERT INTO hydrant values('p30',SDO_Geometry (2001,null,SDO_POINT_TYPE( 531, 299,null),null,null))
Input Line: 	p31, 588, 328
Tokens: 	INSERT INTO hydrant values('p31',SDO_Geometry (2001,null,SDO_POINT_TYPE( 588, 328,null),null,null))
Input Line: 	p32, 637, 352
Tokens: 	INSERT INTO hydrant values('p32',SDO_Geometry (2001,null,SDO_POINT_TYPE( 637, 352,null),null,null))
Input Line: 	p33, 657, 363
Tokens: 	INSERT INTO hydrant values('p33',SDO_Geometry (2001,null,SDO_POINT_TYPE( 657, 363,null),null,null))
Input Line: 	p34, 448, 409
Tokens: 	INSERT INTO hydrant values('p34',SDO_Geometry (2001,null,SDO_POINT_TYPE( 448, 409,null),null,null))
Input Line: 	p35, 464, 420
Tokens: 	INSERT INTO hydrant values('p35',SDO_Geometry (2001,null,SDO_POINT_TYPE( 464, 420,null),null,null))
Input Line: 	p36, 484, 428
Tokens: 	INSERT INTO hydrant values('p36',SDO_Geometry (2001,null,SDO_POINT_TYPE( 484, 428,null),null,null))
Input Line: 	p37, 491, 432
Tokens: 	INSERT INTO hydrant values('p37',SDO_Geometry (2001,null,SDO_POINT_TYPE( 491, 432,null),null,null))
Input Line: 	p38, 507, 438
Tokens: 	INSERT INTO hydrant values('p38',SDO_Geometry (2001,null,SDO_POINT_TYPE( 507, 438,null),null,null))
Input Line: 	p39, 548, 462
Tokens: 	INSERT INTO hydrant values('p39',SDO_Geometry (2001,null,SDO_POINT_TYPE( 548, 462,null),null,null))
Input Line: 	p40, 583, 480
Tokens: 	INSERT INTO hydrant values('p40',SDO_Geometry (2001,null,SDO_POINT_TYPE( 583, 480,null),null,null))
Input Line: 	p41, 302, 197
Tokens: 	INSERT INTO hydrant values('p41',SDO_Geometry (2001,null,SDO_POINT_TYPE( 302, 197,null),null,null))
Input Line: 	p42, 290, 188
Tokens: 	INSERT INTO hydrant values('p42',SDO_Geometry (2001,null,SDO_POINT_TYPE( 290, 188,null),null,null))
Input Line: 	p43, 297, 202
Tokens: 	INSERT INTO hydrant values('p43',SDO_Geometry (2001,null,SDO_POINT_TYPE( 297, 202,null),null,null))
Input Line: 	p44, 358, 199
Tokens: 	INSERT INTO hydrant values('p44',SDO_Geometry (2001,null,SDO_POINT_TYPE( 358, 199,null),null,null))
Input Line: 	p45, 384, 214
Tokens: 	INSERT INTO hydrant values('p45',SDO_Geometry (2001,null,SDO_POINT_TYPE( 384, 214,null),null,null))
Input Line: 	p46, 281, 162
Tokens: 	INSERT INTO hydrant values('p46',SDO_Geometry (2001,null,SDO_POINT_TYPE( 281, 162,null),null,null))
Input Line: 	p47, 264, 314
Tokens: 	INSERT INTO hydrant values('p47',SDO_Geometry (2001,null,SDO_POINT_TYPE( 264, 314,null),null,null))
Input Line: 	p48, 256, 302
Tokens: 	INSERT INTO hydrant values('p48',SDO_Geometry (2001,null,SDO_POINT_TYPE( 256, 302,null),null,null))
Input Line: 	p49, 221, 285
Tokens: 	INSERT INTO hydrant values('p49',SDO_Geometry (2001,null,SDO_POINT_TYPE( 221, 285,null),null,null))
Input Line: 	p50, 197, 275
Tokens: 	INSERT INTO hydrant values('p50',SDO_Geometry (2001,null,SDO_POINT_TYPE( 197, 275,null),null,null))
Input Line: 	p51, 179, 338
Tokens: 	INSERT INTO hydrant values('p51',SDO_Geometry (2001,null,SDO_POINT_TYPE( 179, 338,null),null,null))
Input Line: 	p52, 161, 325
Tokens: 	INSERT INTO hydrant values('p52',SDO_Geometry (2001,null,SDO_POINT_TYPE( 161, 325,null),null,null))
Input Line: 	p53, 378, 280
Tokens: 	INSERT INTO hydrant values('p53',SDO_Geometry (2001,null,SDO_POINT_TYPE( 378, 280,null),null,null))
Input Line: 	p54, 362, 267
Tokens: 	INSERT INTO hydrant values('p54',SDO_Geometry (2001,null,SDO_POINT_TYPE( 362, 267,null),null,null))
Input Line: 	p55, 530, 364
Tokens: 	INSERT INTO hydrant values('p55',SDO_Geometry (2001,null,SDO_POINT_TYPE( 530, 364,null),null,null))
Input Line: 	p56, 535, 353
Tokens: 	INSERT INTO hydrant values('p56',SDO_Geometry (2001,null,SDO_POINT_TYPE( 535, 353,null),null,null))
Input Line: 	p57, 589, 448
Tokens: 	INSERT INTO hydrant values('p57',SDO_Geometry (2001,null,SDO_POINT_TYPE( 589, 448,null),null,null))
Input Line: 	p58, 691, 456
Tokens: 	INSERT INTO hydrant values('p58',SDO_Geometry (2001,null,SDO_POINT_TYPE( 691, 456,null),null,null))
Input Line: 	p59, 698, 427
Tokens: 	INSERT INTO hydrant values('p59',SDO_Geometry (2001,null,SDO_POINT_TYPE( 698, 427,null),null,null))
Input Line: 	p60, 716, 430
Tokens: 	INSERT INTO hydrant values('p60',SDO_Geometry (2001,null,SDO_POINT_TYPE( 716, 430,null),null,null))
Input Line: 	p61, 723, 446
Tokens: 	INSERT INTO hydrant values('p61',SDO_Geometry (2001,null,SDO_POINT_TYPE( 723, 446,null),null,null))
Input Line: 	p62, 687, 503
Tokens: 	INSERT INTO hydrant values('p62',SDO_Geometry (2001,null,SDO_POINT_TYPE( 687, 503,null),null,null))
Input Line: 	p63, 674, 525
Tokens: 	INSERT INTO hydrant values('p63',SDO_Geometry (2001,null,SDO_POINT_TYPE( 674, 525,null),null,null))
Input Line: 	p64, 652, 523
Tokens: 	INSERT INTO hydrant values('p64',SDO_Geometry (2001,null,SDO_POINT_TYPE( 652, 523,null),null,null))
Input Line: 	p65, 645, 539
